               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088234,            0.020477,            0.041791,             0.25815,             0.37305,             0.23192,            0.082204,            0.062106,            0.013301,            0.029885,           0.0033294,           0.0033294,            0.070036
                   1,            0.066143,            0.013845,            0.023534,             0.34195,              0.6097,             0.42889,             0.21434,             0.04837,            0.011886,            0.020923,           0.0066574,           0.0066574,             0.04003
                   2,            0.060421,             0.01318,            0.017797,             0.30221,             0.73407,             0.40415,             0.19299,            0.048591,            0.011648,            0.017367,           0.0099645,           0.0099645,            0.010004
                   3,             0.05395,            0.013003,            0.015655,             0.47619,             0.69952,             0.47308,             0.26222,            0.038107,            0.010623,            0.015913,           0.0099291,           0.0099291,           0.0099291
                   4,            0.046646,            0.012124,            0.014064,             0.49759,             0.74517,             0.49892,              0.3073,            0.035965,            0.009929,            0.014487,           0.0099291,           0.0099291,           0.0099291
                   5,             0.04342,            0.011396,             0.01298,             0.47108,             0.79012,             0.57082,             0.35498,            0.033004,           0.0095868,            0.013521,           0.0098743,           0.0098743,           0.0098743
                   6,            0.041363,            0.010912,            0.011899,             0.50228,              0.8517,             0.63894,             0.40993,            0.031347,           0.0093476,            0.012096,           0.0098042,           0.0098042,           0.0098042
                   7,            0.039572,            0.010701,            0.010646,             0.51859,             0.86528,              0.6481,             0.42003,            0.030904,           0.0089232,            0.011148,           0.0097191,           0.0097191,           0.0097191
                   8,            0.038713,            0.010806,             0.01032,             0.56038,              0.8668,             0.64172,             0.43704,            0.030345,           0.0092052,            0.010789,           0.0096193,           0.0096193,           0.0096193
                   9,            0.037654,            0.010458,            0.010026,             0.51598,             0.88579,             0.66977,             0.46105,            0.030006,           0.0087177,            0.010515,           0.0095052,           0.0095052,           0.0095052
                  10,            0.036628,            0.010373,           0.0094182,             0.55783,             0.89298,             0.68006,             0.47385,            0.028414,           0.0084128,           0.0099953,           0.0093773,           0.0093773,           0.0093773
                  11,            0.035508,            0.010032,           0.0091646,             0.57155,             0.91549,             0.68678,             0.48284,            0.027143,           0.0082983,           0.0098582,           0.0092361,           0.0092361,           0.0092361
                  12,             0.03492,            0.010115,           0.0089206,                0.57,             0.91277,             0.71107,             0.49659,            0.026334,           0.0081459,           0.0095616,           0.0090821,           0.0090821,           0.0090821
                  13,            0.034858,           0.0099222,           0.0086578,             0.58205,              0.8972,             0.74544,             0.53149,            0.025865,           0.0080033,           0.0091352,           0.0089159,           0.0089159,           0.0089159
                  14,            0.033748,           0.0097645,           0.0082524,             0.65948,             0.79629,             0.78024,             0.56744,            0.025353,           0.0079737,           0.0085233,           0.0087382,           0.0087382,           0.0087382
                  15,            0.033214,           0.0096585,           0.0077636,             0.87173,             0.73444,             0.80661,             0.58758,            0.024881,           0.0079053,           0.0078331,           0.0085497,           0.0085497,           0.0085497
                  16,            0.032625,           0.0095216,           0.0072283,              0.7913,             0.82779,             0.82588,             0.60939,            0.024809,           0.0077967,           0.0070457,           0.0083511,           0.0083511,           0.0083511
                  17,            0.031827,           0.0094172,           0.0067433,             0.70008,             0.91849,             0.84958,             0.62516,             0.02402,            0.007789,           0.0064998,           0.0081433,           0.0081433,           0.0081433
                  18,            0.031913,           0.0093797,           0.0061166,             0.77024,             0.91273,             0.88777,             0.65547,            0.024283,           0.0077628,           0.0061396,            0.007927,            0.007927,            0.007927
